id,text,screen_name,time
725388666051289088,Is #WellsFargo the Best Bank Stock for Dividend Investors?. Read more: https://t.co/aM9cLv2fvc $WFC,bfsi_financial,Wed Apr 27 18:18:29 +0000 2016
725388666030321665,Is #WellsFargo the Best Bank Stock for Dividend Investors?. Read more: https://t.co/JhXZjAs2H8 $WFC,financ_mortgage,Wed Apr 27 18:18:29 +0000 2016
725388558509445120,Is Wells Fargo the best bank stock for dividend investors? $WFC https://t.co/ZWOZ1iwziP,dezutterjoachim,Wed Apr 27 18:18:04 +0000 2016
725385401288953857,#WellsFargo CEO warns pressure on profits will continue. Read more: https://t.co/OYmaHjWMhL $WFC,bfsi_financial,Wed Apr 27 18:05:31 +0000 2016
725385401280532480,#WellsFargo CEO warns pressure on profits will continue. Read more: https://t.co/yoaqZiVnjZ $WFC,financ_mortgage,Wed Apr 27 18:05:31 +0000 2016
725385401280528384,#WellsFargo CEO warns pressure on profits will continue. Read more: https://t.co/8AOBfqrAWX $WFC,bfsi_ibb,Wed Apr 27 18:05:31 +0000 2016
725385245671845888,#WellsFargo CEO warns pressure on profits will continue. Read more: https://t.co/wsyVT0Uefd $WFC,bfsi_financial,Wed Apr 27 18:04:54 +0000 2016
725385245600583680,#WellsFargo CEO warns pressure on profits will continue. Read more: https://t.co/BiUhkwUQ0U $WFC,bfsi_ibb,Wed Apr 27 18:04:54 +0000 2016
725385245554434048,#WellsFargo CEO warns pressure on profits will continue. Read more: https://t.co/pB4xzkyxdF $WFC,financ_mortgage,Wed Apr 27 18:04:54 +0000 2016
725385090323210240,#WellsFargo CEO warns pressure on profits will continue. Read more: https://t.co/walZW9iEgE $WFC,bfsi_financial,Wed Apr 27 18:04:17 +0000 2016
725385090310672384,#WellsFargo CEO warns pressure on profits will continue. Read more: https://t.co/JXUWHvonqf $WFC,bfsi_ibb,Wed Apr 27 18:04:17 +0000 2016
725385090277076992,#WellsFargo CEO warns pressure on profits will continue. Read more: https://t.co/izGrEqge73 $WFC,financ_mortgage,Wed Apr 27 18:04:17 +0000 2016
725384770109210625,$WFC 2.94% taking off here,TweetLeni,Wed Apr 27 18:03:00 +0000 2016
725381633210114048,$WFC my puts are worthless.  Ugh,SethQue,Wed Apr 27 17:50:32 +0000 2016
725377627356291073,It's 'Risk On' For Stocks $OEF $SPY Also $WFC $AAPL https://t.co/qXPXNtoslQ,TalkMarkets,Wed Apr 27 17:34:37 +0000 2016
725372978083422208,West Virginia to Receive $8M From #WellsFargo in Marketing Practices Dispute. Read more: https://t.co/8d6iZKmL5g $WFC,bfsi_financial,Wed Apr 27 17:16:09 +0000 2016
id,text,screen_name,time
727203747210907651,Brands That Have Meaning Can Change The World  https://t.co/vV6iH1XEiA $tgt $esrx $lly $lvs $wfc $adbe $oxy $x 1,PhillyTrend215,Mon May 02 18:30:58 +0000 2016
727203560908156928,"Johnny Harris on golf's future in Charlotte, #WellsFargo Championship. Read more: https://t.co/YY21ajIYt8 $WFC",bfsi_ibb,Mon May 02 18:30:14 +0000 2016
727203560841052162,"Johnny Harris on golf's future in Charlotte, #WellsFargo Championship. Read more: https://t.co/aBN1xWVNS1 $WFC",bfsi_financial,Mon May 02 18:30:14 +0000 2016
727203560824283136,"Johnny Harris on golf's future in Charlotte, #WellsFargo Championship. Read more: https://t.co/Uzvt0zDVdg $WFC",financ_mortgage,Mon May 02 18:30:14 +0000 2016
727198570118533120,Offer better fringe benefits to build strong teams  https://t.co/qwnNd0PP0F $tgt $esrx $lly $lvs $wfc 1,SanDiegoTrend,Mon May 02 18:10:24 +0000 2016
727195738107572224,"Insider Weekends April 29, 2016 https://t.co/Cwz7ZvZZqI $UAL $CAT $MYL $PSG $ACTG $FBHS $LMT $QVCA $WFC $PM",SA_Insiders,Mon May 02 17:59:09 +0000 2016
727195137944772608,$WFC booked 1.35% Financials still a hot mess Take this while I can,TweetLeni,Mon May 02 17:56:46 +0000 2016
727194993287376896,"FIL Ltd Has $180,971,000 Stake in Wells Fargo $WFC https://t.co/cy4x2Lle7P",TickerReport,Mon May 02 17:56:11 +0000 2016
727194742790959106,"FIL Ltd Has $180,971,000 Stake in Wells Fargo $WFC https://t.co/jbyiBf4a9n",AmericanBanking,Mon May 02 17:55:11 +0000 2016
727192967564259328,"Citi, big banks are a good buy with the dollar weakening, cramer says $C $WFC $BAC https://t.co/EVFNklny2V https://t.co/PB3wBi0gLX",TSTbanking,Mon May 02 17:48:08 +0000 2016
727191015233327104,How to grow your business online for free  https://t.co/1zLoF8mgQG $tgt $esrx $lly $lvs $wfc $teva $bmy $abbv $hot 1,WallStreetTrend,Mon May 02 17:40:23 +0000 2016
727189744505868288,#WellsFargo Greensboro bank robbed by masked men with guns. Read more: https://t.co/CkOy4L2jTf $WFC,bfsi_financial,Mon May 02 17:35:20 +0000 2016
727188657648467968,#WellsFargo Greensboro bank robbed by masked men with guns. Read more: https://t.co/4VQrRx79at $WFC,financ_mortgage,Mon May 02 17:31:01 +0000 2016
727188036933439488,#WellsFargo Greensboro bank robbed by masked men with guns. Read more: https://t.co/vgTATzyV0H $WFC,bfsi_ibb,Mon May 02 17:28:33 +0000 2016
727184544860917768,"This is priceless!  #TBTF banks, gotta luv'm. Can't make this shit up. $GS $C $BAC $JPM $MS $WFC  https://t.co/2Kx00yrjNz",HOOISJG,Mon May 02 17:14:40 +0000 2016
727183688530710528,#WellsFargo The digital mortgage revolution is happening now. Are you ready?. Read more: https://t.co/QJeYSIHGC2 $WFC,bfsi_financial,Mon May 02 17:11:16 +0000 2016
727183688530698241,#WellsFargo The digital mortgage revolution is happening now. Are you ready?. Read more: https://t.co/uiLx0wG7DK $WFC,bfsi_ibb,Mon May 02 17:11:16 +0000 2016
727183067165519872,#WellsFargo The digital mortgage revolution is happening now. Are you ready?. Read more: https://t.co/pHhDXiccyw $WFC,financ_mortgage,Mon May 02 17:08:48 +0000 2016
727180867165147136,Some #unusualactivity #options: $AUY $CEMP $DDD $ECL $EMES $MDLZ $MET $SRPT $THC $WFC via https://t.co/AyoJORKy1x https://t.co/DseqqQpy3f,UOTApp,Mon May 02 17:00:03 +0000 2016
727178455092178944,Brands That Have Meaning Can Change The World  https://t.co/1zLoF8mgQG $tgt $esrx $lly $lvs $wfc $adbe $oxy $x 1,WallStreetTrend,Mon May 02 16:50:28 +0000 2016
727173563178954753,Offer better fringe benefits to build strong teams  https://t.co/vV6iH1XEiA $tgt $esrx $lly $lvs $wfc 1,PhillyTrend215,Mon May 02 16:31:02 +0000 2016
727166210048036865,How to grow your business online for free  https://t.co/qwnNd0ydC5 $tgt $esrx $lly $lvs $wfc $teva $bmy $abbv $hot 5,SanDiegoTrend,Mon May 02 16:01:49 +0000 2016
727164093732380677,S&amp;P100 #Stocks Trend $HAL $CL $XOM $MDT $AMZN $BMY $LLY $MDLZ $AIG $LMT $MO $NEE $FB $GS $GD $DHR $MON $WFC  @ https://t.co/cKkr8cKsju,DozenStocks,Mon May 02 15:53:24 +0000 2016
727164024056631297,S&amp;P100 #Stocks Performance $MDLZ $HAL $AMZN $CL $GS $FDX $BLK $SPG $COF $WFC $SBUX $HD $MS $GD $F $MCD  more@ https://t.co/cKkr8cKsju,DozenStocks,Mon May 02 15:53:08 +0000 2016
727158768023142404,"$WFC in ABC Bullish Pattern, Targets https://t.co/yUiOZGs5UQ",surinotes,Mon May 02 15:32:14 +0000 2016
727153281567457281,Brands That Have Meaning Can Change The World  https://t.co/qwnNd0PP0F $tgt $esrx $lly $lvs $wfc $adbe $oxy $x 5,SanDiegoTrend,Mon May 02 15:10:26 +0000 2016
727151753267810305,Volume Alert - WFC 50.56 Wells Fargo &amp; Company $WFC Hit a high today of 50.64 Closing the day 10:30 at 50.56 + https://t.co/2y4PQgl99I,leahanneta,Mon May 02 15:04:22 +0000 2016
727148222377025536,Offer better fringe benefits to build strong teams  https://t.co/1zLoF8mgQG $tgt $esrx $lly $lvs $wfc 1,WallStreetTrend,Mon May 02 14:50:20 +0000 2016
727143953930194945,LOL MT @apppro1 Grandpa Munger hates $VRX because they raised prices at Buffet hospitals! Munger sent $WFC to Senate. Political influence.,bullriders1,Mon May 02 14:33:22 +0000 2016
727143337506037760,@bullriders1 @Melikeitalot Munger hates them because $VRX raised prices at Buffet hospitals! Munger sent $WFC to Senate. Political infulence,apppro1,Mon May 02 14:30:55 +0000 2016
727140695606177792,How to grow your business online for free  https://t.co/vV6iH1XEiA $tgt $esrx $lly $lvs $wfc $teva $bmy $abbv $hot 5,PhillyTrend215,Mon May 02 14:20:26 +0000 2016
727137348153135108,"WFC Top news - May 2nd, 2016 $WFC https://t.co/6R8ZoCqeCi",SweetPlatform,Mon May 02 14:07:08 +0000 2016
727135014668783616,Ten Dividend Growth Stocks That Keep Delivering For Their Shareholders https://t.co/JRDGLGSguW $JNJ $XOM $IBM $WFC $UTX $AMP #dividends,DividendGrowth,Mon May 02 13:57:51 +0000 2016
727134018051837956,$VRX Past practices were bad BUT what's WORSE is for Munger/Buffet to use THEIR $WFC stock holding to pressure ANALysts to FEED SENATE info,apppro1,Mon May 02 13:53:54 +0000 2016
727133960082436096,Segall Bryant &amp; Hamill LLC Cuts Stake in Wells Fargo $WFC https://t.co/u6HdoIwPLQ,SleekMoneycom,Mon May 02 13:53:40 +0000 2016
727125927314878465,"Evalon Costco Compares Credit Card Processing Rates of Square Reader, Chase, #WellsFargo. Read more: https://t.co/gOgtVYtdyI $WFC",bfsi_ibb,Mon May 02 13:21:45 +0000 2016
727124839761235972,"Evalon Costco Compares Credit Card Processing Rates of Square Reader, Chase, #WellsFargo. Read more: https://t.co/1tYFoSDDOm $WFC",bfsi_financial,Mon May 02 13:17:25 +0000 2016
727124839727648768,#WellsFargo Bank of America : Evalon Costco Compares Credit Card Processing Rates of Square ... Read more: https://t.co/9BvK03I1wy $WFC,bfsi_ibb,Mon May 02 13:17:25 +0000 2016
727124684412608513,#WellsFargo Bank of America : Evalon Costco Compares Credit Card Processing Rates of Square ... Read more: https://t.co/2SHLkYEALA $WFC,bfsi_financial,Mon May 02 13:16:48 +0000 2016
727124684412608512,"Evalon Costco Compares Credit Card Processing Rates of Square Reader, Chase, #WellsFargo. Read more: https://t.co/gqnT7iplb2 $WFC",financ_mortgage,Mon May 02 13:16:48 +0000 2016
727124528862621696,#WellsFargo Bank of America : Evalon Costco Compares Credit Card Processing Rates of Square ... Read more: https://t.co/PgyaaffU0N $WFC,financ_mortgage,Mon May 02 13:16:11 +0000 2016
727118947363901440,$VRX Hey Munger u say @valeant hurt YOUR hospital SO is that why u sent $WFC ANALyst after them via Senate? Political influence at its worst,apppro1,Mon May 02 12:54:00 +0000 2016
727118883069550595,Portfolio Construction In The Age Of Extraordinary Monetary Policy: Part I https://t.co/TY628LUW6w $JPM $BAC $WFC $C,pelias01,Mon May 02 12:53:45 +0000 2016
727117858996674560,"@WarrenBuffett @BillGates @BeckyQuick Hey Munger you say @valeant hurt YOUR hospital, SP is that you sent $WFC after them via Senate? $VRX",apppro1,Mon May 02 12:49:41 +0000 2016
727111022234869761,#WellsFargo Begins Coverage on Banc of California Inc (BANC). Read more: https://t.co/pcCCUrYHui $WFC,bfsi_financial,Mon May 02 12:22:31 +0000 2016
727110245856645120,Xenia Hotels &amp; Resorts Inc (XHR) Research Coverage Started at #WellsFargo. Read more: https://t.co/lIz9V3TKL2 $WFC,bfsi_financial,Mon May 02 12:19:26 +0000 2016
727110245789499392,#WellsFargo Begins Coverage on Banc of California Inc (BANC). Read more: https://t.co/WL3BdysCmj $WFC,financ_mortgage,Mon May 02 12:19:26 +0000 2016
727110245772750850,#WellsFargo Begins Coverage on Banc of California Inc (BANC). Read more: https://t.co/q2Tf6ZhsDO $WFC,bfsi_ibb,Mon May 02 12:19:26 +0000 2016
727110090512199681,Xenia Hotels &amp; Resorts Inc (XHR) Research Coverage Started at #WellsFargo. Read more: https://t.co/PGexv0ucXR $WFC,bfsi_ibb,Mon May 02 12:18:49 +0000 2016
727110090512195584,Xenia Hotels &amp; Resorts Inc (XHR) Research Coverage Started at #WellsFargo. Read more: https://t.co/9USccbMMgL $WFC,financ_mortgage,Mon May 02 12:18:49 +0000 2016
727109003466022913,#WellsFargo Begins Coverage on Xenia Hotels &amp; Resorts Inc (XHR). Read more: https://t.co/ZFGHVYKA0x $WFC,bfsi_ibb,Mon May 02 12:14:30 +0000 2016
727109003315019776,#WellsFargo Begins Coverage on Xenia Hotels &amp; Resorts Inc (XHR). Read more: https://t.co/z27somD1CE $WFC,bfsi_financial,Mon May 02 12:14:30 +0000 2016
727109003243720709,#WellsFargo Begins Coverage on Xenia Hotels &amp; Resorts Inc (XHR). Read more: https://t.co/88JdRwTEMs $WFC,financ_mortgage,Mon May 02 12:14:30 +0000 2016
727107782227406850,JPMorgan Top Of List Of Richest Banks https://t.co/pA3Zq4huUc $BAC $JPM $WFC $C $USB $COF $PNC $RBS https://t.co/a5O1c6Wurx,valuewalk,Mon May 02 12:09:38 +0000 2016
727101381811802112,Notis McConarty Edward Maintains Stake in Wells Fargo $WFC https://t.co/jIQlMfMT8W,dailypoliticaln,Mon May 02 11:44:12 +0000 2016
727098212444598273,"LOL - not great if others follow you out (being long $WFC, eh Warren?) https://t.co/Fh6Ly5Y9My",DallasTexxxas,Mon May 02 11:31:37 +0000 2016
727097011229609985,@bradloncar No one finds $WFC feeding of Senate committee and this recent Buffett $VRX bash at all disturbing. Campaigning for Hillary?,apppro1,Mon May 02 11:26:50 +0000 2016
727081773801205760,$WFC high open interest range is 48.00 to 52.00 for option expiration 05/06/2016.  https://t.co/NOGiuUVklE https://t.co/9m7F7GyWqT,Maximum_Pain_cm,Mon May 02 10:26:18 +0000 2016
727081053328957440,Buffett: I'd consider taking money out of banks if they charge for deposits https://t.co/rEOhkWYi0Z $BBT $BAC $WFC,LooneyTunes002,Mon May 02 10:23:26 +0000 2016
727054787091517440,10 Big-Name Stocks Raising The Bar With Higher Dividends $BBT $EXC $IBM $JNJ $MET $UTX $WFC $XOM $AAPL $GILD https://t.co/zs0M4fAke0,TalkMarkets,Mon May 02 08:39:03 +0000 2016
727053204203163648,"Avid Modjtabai Sells 55,000 Shares of Wells Fargo $WFC Stock https://t.co/VUQZ1Qte7w",dakotafinancial,Mon May 02 08:32:46 +0000 2016
727048504292478977,"JHX Short Sales
See Here ---&gt; https://t.co/vs1fuGpjhn

$JHX $AA $WFC #pennystocks",stockpickerof21,Mon May 02 08:14:05 +0000 2016
726964191060463618,10 Big-Name Stocks Raising The Bar With Higher Dividends $BBT $EXC $IBM $JNJ $MET $UTX $WFC $XOM $AAPL $GILD https://t.co/1CBfHfOYpU,MarketsRecap,Mon May 02 02:39:04 +0000 2016
726958400400166912,Is Wells Fargo the Best Bank Stock for Dividend Investors? $WFC https://t.co/ky2CtMMTr1 https://t.co/7maYCY4rm4,Focus_on_Dvds,Mon May 02 02:16:03 +0000 2016
726949334600826880,$WFC: Analyst action by Nomura on Wells Fargo: https://t.co/0ijXkTDFFj https://t.co/jolPuDHjw2,AnalystActions,Mon May 02 01:40:02 +0000 2016
726931233033322496,"Fed &gt; $WFC &gt; $JPM

@FedPorn",alwayssmooth30,Mon May 02 00:28:06 +0000 2016
726930497268494336,Now $WFC &gt; $JPM? #WarrenWins https://t.co/Ju4RjTCesd,FedPorn,Mon May 02 00:25:10 +0000 2016
726928578097475584,$WFC Max Pain = 49.00. Maturity = 05/06/2016. Previous close = 50.00. bearish https://t.co/sAbpFkcmBj https://t.co/d9875ybYFl,Maximum_Pain_cm,Mon May 02 00:17:33 +0000 2016
726899823291457536,Portfolio Construction In The Age Of Extraordinary Monetary Policy: Part I https://t.co/ANbCbpGUEd $JPM $BAC $WFC $C,SEEKINGALPHA_FS,Sun May 01 22:23:17 +0000 2016
726899821995393024,Portfolio Construction In The Age Of Extraordinary Monetary Policy: Part I https://t.co/2h6nY2TBBQ $JPM $BAC $WFC $C,SA_Portfolio,Sun May 01 22:23:17 +0000 2016
726899820019912704,Portfolio Construction In The Age Of Extraordinary Monetary Policy: Part I https://t.co/OFB0XVKzbn $JPM $BAC $WFC $C,SA_EditorPicks,Sun May 01 22:23:16 +0000 2016
726899773911928832,Wells Fargo CEO warns pressure on profits will continue https://t.co/1wXpTsTtkB $WFC #banking https://t.co/d4CV6AQxNe,SFBusinessTimes,Sun May 01 22:23:05 +0000 2016
726897497143042048,"WFC Message Board Posts
See Here ---&gt; https://t.co/IAhmforLeP

$WFC $XONE $CATY #tradeideas",intowin2017,Sun May 01 22:14:03 +0000 2016
726872622231867393,The True State Of #Housing In #America https://t.co/2znp3UF3yr #economy $DHI $HD $ITIC $IVR $IYR $JPM $KBH $MTG $NRZ $RDN $REM $WFC $XHB,BColwell_ECON,Sun May 01 20:35:12 +0000 2016
726868350526066688,"$WFC maturity 05/06/2016 oi CallPutRatio of 0.71 puts 4,307 &amp; calls 6,059 bullish. https://t.co/NOGiuUVklE https://t.co/UIliqf7hAY",Maximum_Pain_cm,Sun May 01 20:18:13 +0000 2016
726863350160850945,10 Big-Name Stocks Raising The Bar With Higher Dividends $BBT $EXC $IBM $JNJ $MET $UTX $WFC $XOM $AAPL $GILD https://t.co/zs0M4fAke0,TalkMarkets,Sun May 01 19:58:21 +0000 2016
726850935041982466,#InsiderTrading Report: Notable Buys And Sales $CAT $FBHS $LMT $PM $UAL $WFC $ACTG $MYL $SPY $PSG $QVCA https://t.co/7KOIieNOOb,TalkMarkets,Sun May 01 19:09:01 +0000 2016
726847733332582400,$WFC ticks the boxes as a dream 💰 dividend 💰 stock with 3.0% yield https://t.co/RuRf8aqDgx https://t.co/XMOO189Ag3,WarrenofWallSt,Sun May 01 18:56:18 +0000 2016
726807176740782080,"$KO $AXP $IBM $WFC $KHC represent nearly 60% of #portfolio https://t.co/fDJgT2SG7R
#money #stocks #finance https://t.co/vmFceV3kC7",RealPeteyCrack,Sun May 01 16:15:09 +0000 2016
726793320391831552,#Buffett likes 5 of the top 50 banks. Two are apparently $WFC &amp; $BAC. Who are the other 3? https://t.co/SN6GUvljYh https://t.co/1Eklnpq0aq,PatrickW,Sun May 01 15:20:05 +0000 2016
726777231687712769,$WFC:US Wells Fargo Lowers BOK Financial Co. (BOKF) to Underperform #WELLS FARGO &amp; CO  https://t.co/2fPT8yHpmU #SP500,FinSentS_SP500,Sun May 01 14:16:09 +0000 2016
726768117553098753,New to trading and need to build your trading account FAST? Try my new amazon ebook https://t.co/3h5fT4a5A3 $XLU $WFC $BWLD,SmallCaps33,Sun May 01 13:39:56 +0000 2016
726767458204405761,Hallmark Capital Management Inc. Acquires 141 Shares of Wells Fargo $WFC https://t.co/iD3NdAR00P,WKRBNews,Sun May 01 13:37:19 +0000 2016
726762985448984576,"Pzena Investment Management LLC Sells 372,395 Shares of Wells Fargo $WFC https://t.co/dVl727CKFv",dailypoliticaln,Sun May 01 13:19:32 +0000 2016
726760346988494849,#InsiderTrading Report: Notable Buys And Sales $CAT $FBHS $LMT $PM $UAL $WFC $ACTG $MYL $SPY $PSG $QVCA https://t.co/e7LtVwnBka,MarketsRecap,Sun May 01 13:09:03 +0000 2016
726753294673154049,$WFC: Analyst action by Nomura on Wells Fargo: https://t.co/0ijXkTDFFj https://t.co/ctXica7X8E,AnalystActions,Sun May 01 12:41:02 +0000 2016
726742431299817472,"$vrx So NOW we know WHY Senate was QUOTING $WFC ANALysts! Buffett short&gt;

 Warren Buffett And Munger Agree: @Valeant https://t.co/c5427Z4l0J",apppro1,Sun May 01 11:57:52 +0000 2016
726742223325388802,"$vrx So NOW we know WHY Senate was QUOTING $WFC ANALysts! Buffett short&gt;

 Warren Buffett And Munger Agree: @Valeant https://t.co/c5427YMK9b",apppro1,Sun May 01 11:57:02 +0000 2016
726729204721557504,chartguy89: 2016 Trending Stocks: WFC 49.98 Stock Charts $WFC Wells Fargo &amp; Co. https://t.co/62ZlcZjt19,iHangout2,Sun May 01 11:05:19 +0000 2016
726695547395039233,Remove from the list $BAC $WFC $JPM $GS ... where he holds stakes... He dislikes pretty much everyone else...,MrRowD,Sun May 01 08:51:34 +0000 2016
726673110255194112,"Bahl &amp; Gaynor Inc. Has $32,112,000 Stake in Wells Fargo $WFC https://t.co/kvmHy6nH2D",WKRBNews,Sun May 01 07:22:25 +0000 2016
726672370799398913,Wells Fargo $WFC is CS Mckee LP’s 2nd Largest Position https://t.co/8SuQEfEwoC,dailypoliticaln,Sun May 01 07:19:28 +0000 2016
726668634744082432,"Mackenzie Financial Corp Sells 397,051 Shares of Wells Fargo $WFC https://t.co/hkUfQ6ir5J",dailypoliticaln,Sun May 01 07:04:38 +0000 2016
726659106543640577,#InsiderTrading Report: Notable Buys And Sales $CAT $FBHS $LMT $PM $UAL $WFC $ACTG $MYL $SPY $PSG $QVCA https://t.co/7KOIieNOOb,TalkMarkets,Sun May 01 06:26:46 +0000 2016
726654615765180416,$WFC:US Wells Fargo Lowers BOK Financial Co. (BOKF) to Underperform #WELLS FARGO &amp; CO  https://t.co/SGynCB7jtt #SP500,FinSentS_SP500,Sun May 01 06:08:55 +0000 2016
726605246781222914,New post: Insider Weekends https://t.co/Viv8L9UIpK Buys: $UAL $CAT $MYL $PSG $ACTG Sells: $FBHS $LMT $QVCA $WFC $PM,AsifSuria,Sun May 01 02:52:45 +0000 2016
726568440438226945,https://t.co/ANv9eBRvTY Will YOU be one of Tim Sykes MILLIONAIRE students in 2015? $WFC $BWLD,SmallCaps33,Sun May 01 00:26:29 +0000 2016
726561641664376832,You could live your life only using $BRK-B -owned products $COST $WMT $AXP $WFC $KO $JNJ https://t.co/LqzuRAipcf https://t.co/U7BlGi7VZG,JorelLaraKalel,Sat Apr 30 23:59:28 +0000 2016
726560979400548352,"Big Banks and Derivatives: Great article from 2013, BEFORE oil tanked. $WFC $JPM $SPY  https://t.co/Rj3fB8otd2",MindlessRobots,Sat Apr 30 23:56:50 +0000 2016
726553768435671040,New to trading and need to build your trading account FAST? Try my new amazon ebook https://t.co/uIocDsEDJW $XLU $WFC $BWLD,Stock_Huntress,Sat Apr 30 23:28:11 +0000 2016
id,text,screen_name,time
727203747210907651,Brands That Have Meaning Can Change The World  https://t.co/vV6iH1XEiA $tgt $esrx $lly $lvs $wfc $adbe $oxy $x 1,PhillyTrend215,Mon May 02 18:30:58 +0000 2016
727203560908156928,"Johnny Harris on golf's future in Charlotte, #WellsFargo Championship. Read more: https://t.co/YY21ajIYt8 $WFC",bfsi_ibb,Mon May 02 18:30:14 +0000 2016
727203560841052162,"Johnny Harris on golf's future in Charlotte, #WellsFargo Championship. Read more: https://t.co/aBN1xWVNS1 $WFC",bfsi_financial,Mon May 02 18:30:14 +0000 2016
727203560824283136,"Johnny Harris on golf's future in Charlotte, #WellsFargo Championship. Read more: https://t.co/Uzvt0zDVdg $WFC",financ_mortgage,Mon May 02 18:30:14 +0000 2016
727198570118533120,Offer better fringe benefits to build strong teams  https://t.co/qwnNd0PP0F $tgt $esrx $lly $lvs $wfc 1,SanDiegoTrend,Mon May 02 18:10:24 +0000 2016
727195738107572224,"Insider Weekends April 29, 2016 https://t.co/Cwz7ZvZZqI $UAL $CAT $MYL $PSG $ACTG $FBHS $LMT $QVCA $WFC $PM",SA_Insiders,Mon May 02 17:59:09 +0000 2016
727195137944772608,$WFC booked 1.35% Financials still a hot mess Take this while I can,TweetLeni,Mon May 02 17:56:46 +0000 2016
727194993287376896,"FIL Ltd Has $180,971,000 Stake in Wells Fargo $WFC https://t.co/cy4x2Lle7P",TickerReport,Mon May 02 17:56:11 +0000 2016
727194742790959106,"FIL Ltd Has $180,971,000 Stake in Wells Fargo $WFC https://t.co/jbyiBf4a9n",AmericanBanking,Mon May 02 17:55:11 +0000 2016
727192967564259328,"Citi, big banks are a good buy with the dollar weakening, cramer says $C $WFC $BAC https://t.co/EVFNklny2V https://t.co/PB3wBi0gLX",TSTbanking,Mon May 02 17:48:08 +0000 2016
727191015233327104,How to grow your business online for free  https://t.co/1zLoF8mgQG $tgt $esrx $lly $lvs $wfc $teva $bmy $abbv $hot 1,WallStreetTrend,Mon May 02 17:40:23 +0000 2016
727189744505868288,#WellsFargo Greensboro bank robbed by masked men with guns. Read more: https://t.co/CkOy4L2jTf $WFC,bfsi_financial,Mon May 02 17:35:20 +0000 2016
727188657648467968,#WellsFargo Greensboro bank robbed by masked men with guns. Read more: https://t.co/4VQrRx79at $WFC,financ_mortgage,Mon May 02 17:31:01 +0000 2016
727188036933439488,#WellsFargo Greensboro bank robbed by masked men with guns. Read more: https://t.co/vgTATzyV0H $WFC,bfsi_ibb,Mon May 02 17:28:33 +0000 2016
727184544860917768,"This is priceless!  #TBTF banks, gotta luv'm. Can't make this shit up. $GS $C $BAC $JPM $MS $WFC  https://t.co/2Kx00yrjNz",HOOISJG,Mon May 02 17:14:40 +0000 2016
727183688530710528,#WellsFargo The digital mortgage revolution is happening now. Are you ready?. Read more: https://t.co/QJeYSIHGC2 $WFC,bfsi_financial,Mon May 02 17:11:16 +0000 2016
727183688530698241,#WellsFargo The digital mortgage revolution is happening now. Are you ready?. Read more: https://t.co/uiLx0wG7DK $WFC,bfsi_ibb,Mon May 02 17:11:16 +0000 2016
727183067165519872,#WellsFargo The digital mortgage revolution is happening now. Are you ready?. Read more: https://t.co/pHhDXiccyw $WFC,financ_mortgage,Mon May 02 17:08:48 +0000 2016
727180867165147136,Some #unusualactivity #options: $AUY $CEMP $DDD $ECL $EMES $MDLZ $MET $SRPT $THC $WFC via https://t.co/AyoJORKy1x https://t.co/DseqqQpy3f,UOTApp,Mon May 02 17:00:03 +0000 2016
727178455092178944,Brands That Have Meaning Can Change The World  https://t.co/1zLoF8mgQG $tgt $esrx $lly $lvs $wfc $adbe $oxy $x 1,WallStreetTrend,Mon May 02 16:50:28 +0000 2016
727173563178954753,Offer better fringe benefits to build strong teams  https://t.co/vV6iH1XEiA $tgt $esrx $lly $lvs $wfc 1,PhillyTrend215,Mon May 02 16:31:02 +0000 2016
727166210048036865,How to grow your business online for free  https://t.co/qwnNd0ydC5 $tgt $esrx $lly $lvs $wfc $teva $bmy $abbv $hot 5,SanDiegoTrend,Mon May 02 16:01:49 +0000 2016
727164093732380677,S&amp;P100 #Stocks Trend $HAL $CL $XOM $MDT $AMZN $BMY $LLY $MDLZ $AIG $LMT $MO $NEE $FB $GS $GD $DHR $MON $WFC  @ https://t.co/cKkr8cKsju,DozenStocks,Mon May 02 15:53:24 +0000 2016
727164024056631297,S&amp;P100 #Stocks Performance $MDLZ $HAL $AMZN $CL $GS $FDX $BLK $SPG $COF $WFC $SBUX $HD $MS $GD $F $MCD  more@ https://t.co/cKkr8cKsju,DozenStocks,Mon May 02 15:53:08 +0000 2016
727158768023142404,"$WFC in ABC Bullish Pattern, Targets https://t.co/yUiOZGs5UQ",surinotes,Mon May 02 15:32:14 +0000 2016
727153281567457281,Brands That Have Meaning Can Change The World  https://t.co/qwnNd0PP0F $tgt $esrx $lly $lvs $wfc $adbe $oxy $x 5,SanDiegoTrend,Mon May 02 15:10:26 +0000 2016
727151753267810305,Volume Alert - WFC 50.56 Wells Fargo &amp; Company $WFC Hit a high today of 50.64 Closing the day 10:30 at 50.56 + https://t.co/2y4PQgl99I,leahanneta,Mon May 02 15:04:22 +0000 2016
727148222377025536,Offer better fringe benefits to build strong teams  https://t.co/1zLoF8mgQG $tgt $esrx $lly $lvs $wfc 1,WallStreetTrend,Mon May 02 14:50:20 +0000 2016
727143953930194945,LOL MT @apppro1 Grandpa Munger hates $VRX because they raised prices at Buffet hospitals! Munger sent $WFC to Senate. Political influence.,bullriders1,Mon May 02 14:33:22 +0000 2016
727143337506037760,@bullriders1 @Melikeitalot Munger hates them because $VRX raised prices at Buffet hospitals! Munger sent $WFC to Senate. Political infulence,apppro1,Mon May 02 14:30:55 +0000 2016
